timestamp,exchange,symbol,timeframe,setups,direction,close,volume,atr_pct,high_volatility,mtf_confirmed,score
2026-03-20T06:55:42.849835+00:00,KUCOIN,9BIT/USDT,15m,rsi_oversold,mixed,0.023538,102632.0,0.2726527973106395,False,False,1
2026-03-20T06:55:43.051333+00:00,KUCOIN,9BIT/USDT,1h,rsi_oversold,mixed,0.023538,298327.0,0.6309596928712249,True,True,2
2026-03-20T06:55:43.235470+00:00,KUCOIN,9BIT/USDT,4h,rsi_oversold,mixed,0.023538,914466.0,1.2532858386733272,True,True,2
2026-03-20T06:55:44.768767+00:00,KUCOIN,A2Z/USDT,1m,rsi_overbought,mixed,0.000487,207605.0,0.059916065992166825,False,False,1
2026-03-20T06:55:45.777404+00:00,KUCOIN,A2Z/USDT,4h,rsi_oversold,mixed,0.000487,9890509.0,11.418669414867399,True,True,2
2026-03-20T06:56:08.586846+00:00,KUCOIN,AIN/USDT,4h,bearish_engulfing,bearish,0.08849,185221.5,9.440236942679233,True,True,2
2026-03-20T06:56:27.857141+00:00,KUCOIN,AMP/USDT,4h,rsi_oversold,mixed,0.001281,3203563.419,1.330980941873213,True,True,2
2026-03-20T06:56:31.186959+00:00,KUCOIN,ANLOG/USDT,15m,rsi_overbought,mixed,9.46e-05,1387877.0,1.646933710958673,True,True,2
2026-03-20T06:56:32.737171+00:00,KUCOIN,ANOME/USDT,4h,rsi_overbought,mixed,0.0392386,371819.6,2.5239048267066972,True,True,2
2026-03-20T06:56:38.656926+00:00,KUCOIN,APR/USDT,1h,rsi_oversold,mixed,0.1396,158472.48,4.075213526941375,True,True,2
2026-03-20T06:56:38.865516+00:00,KUCOIN,APR/USDT,4h,"bearish_engulfing,rsi_oversold",bearish,0.1396,1205645.49,7.374950841927161,True,True,3
2026-03-20T06:56:45.981159+00:00,KUCOIN,ARIA/USDT,4h,bullish_engulfing,bullish,0.18967,101197.4,6.427681275456792,True,True,2
2026-03-20T06:56:58.590604+00:00,KUCOIN,ATA/USDT,1h,bearish_engulfing,bearish,0.01071,22024750.1544,1.3660052507346017,True,True,2
